0.1 326.12
0.105 296.27
0.11 272.4
0.115 256.726
0.12 226.937
0.125 217.141
0.13 204.649
0.135 182.94
0.14 177.082
0.145 168.606
0.15 160.182
0.155 151.907
0.16 144.707
0.165 139.904
0.17 132.264
0.175 129.32
0.18 127.213
0.185 121.486
0.19 121.536
0.195 116.279
0.2 111.319
0.205 113.905
0.21 107.701
0.215 107.423
0.22 106.555
0.225 105.434
0.23 102.078
0.235 100.824
0.24 99.985
0.245 99.279
0.25 99.059
0.255 97.311
0.26 97.31
0.265 96.699
0.27 96.445
0.275 95.285
0.28 95.331
0.285 92.707
0.29 91.457
0.295 92.544
0.3 91.965
0.305 91.559
0.31 91.479
0.315 90.207
0.32 90.331
0.325 90.252
0.33 89.964
0.335 89.326
0.34 87.352
0.345 88.274
0.35 88.419
0.355 88.436
0.36 88.116
0.365 87.7
0.37 88.951
0.375 87.391
0.38 88.039
0.385 87.318
0.39 87.895
0.395 86.715
0.4 87.102
0.405 87.488
0.41 88.409
0.415 87.637
0.42 87.219
0.425 87.689
0.43 86.182
0.435 87.276
0.44 87.993
0.445 87.603
0.45 87.418
0.455 88.446
0.46 87.598
0.465 87.067
0.47 87.679
0.475 87.944
0.48 87.619
0.485 87.605
0.49 87.857
0.495 88.702
0.5 88.186
0.505 88.169
0.51 88.731
0.515 88.169
0.52 88.658
0.525 89.184
0.53 87.64
0.535 89.702
0.54 89.32
0.545 89.269
0.55 89.918
0.555 89.735
0.56 90.26
0.565 90.175
0.57 89.541
0.575 89.576
0.58 91.415
0.585 90.601
0.59 90.809
0.595 91.32
