0.1 260.417
0.105 238.72
0.11 217.088
0.115 208.959
0.12 187.751
0.125 178.616
0.13 166.676
0.135 161.001
0.14 151.948
0.145 146.451
0.15 138.845
0.155 133.276
0.16 124.376
0.165 119.41
0.17 120.036
0.175 115.011
0.18 112.825
0.185 110.786
0.19 107.555
0.195 105.267
0.2 101.517
0.205 102.138
0.21 99.419
0.215 98.017
0.22 94.883
0.225 95.449
0.23 93.963
0.235 92.418
0.24 91.379
0.245 90.408
0.25 89.025
0.255 90.692
0.26 90.839
0.265 88.117
0.27 87.439
0.275 86.868
0.28 86.566
0.285 85.37
0.29 86.051
0.295 85.864
0.3 84.515
0.305 84.905
0.31 84.711
0.315 83.507
0.32 83.304
0.325 84.402
0.33 82.415
0.335 83.338
0.34 82.019
0.345 83.038
0.35 83.239
0.355 82.678
0.36 82.903
0.365 81.313
0.37 81.253
0.375 82.028
0.38 82.095
0.385 81.71
0.39 82.059
0.395 82.304
0.4 81.518
0.405 81.24
0.41 82.161
0.415 81.557
0.42 81.616
0.425 81.707
0.43 81.65
0.435 81.841
0.44 82.102
0.445 80.647
0.45 80.887
0.455 82.686
0.46 81.308
0.465 81.718
0.47 82.053
0.475 83.084
0.48 82.506
0.485 82.73
0.49 82.381
0.495 82.15
0.5 83.201
0.505 83.789
0.51 83.698
0.515 83.044
0.52 83
0.525 83.369
0.53 83.94
0.535 83.399
0.54 84.105
0.545 84.448
0.55 84.338
0.555 84.688
0.56 84.508
0.565 85.004
0.57 85.221
0.575 85.633
0.58 84.698
0.585 85.988
0.59 85.798
0.595 85.886
